"time","volume","id","density","tcells"
14,47388990.4821019,"k =  4",1e+05,4738899048210.19
0,1448.793,"k = 16",0,0
0.05,1512.37847041888,"k = 16",0,0
0.1,1578.75096556914,"k = 16",0,0
0.15,1648.03577708534,"k = 16",0,0
0.2,1720.36173546302,"k = 16",0,0
0.25,1795.86191450959,"k = 16",0,0
0.3,1874.67539207703,"k = 16",0,0
0.35,1956.94719339377,"k = 16",0,0
0.4,2042.82930341846,"k = 16",0,0
0.45,2132.48031808683,"k = 16",0,0
0.5,2226.06576176486,"k = 16",0,0
0.55,2323.7583021428,"k = 16",0,0
0.6,2425.73815074038,"k = 16",0,0
0.65,2532.19339641116,"k = 16",0,0
0.7,2643.32047343281,"k = 16",0,0
0.75,2759.32442228101,"k = 16",0,0
0.8,2880.41930630018,"k = 16",0,0
0.85,3006.82853101989,"k = 16",0,0
0.9,3138.7853217733,"k = 16",0,0
0.95,3276.53311820025,"k = 16",0,0
1,3420.32607263836,"k = 16",0,0
1.05,3570.42947667145,"k = 16",0,0
1.1,3727.12027972078,"k = 16",0,0
1.15,3890.68756691809,"k = 16",0,0
1.2,4061.43311602444,"k = 16",0,0
1.25,4239.67195124371,"k = 16",0,0
1.3,4425.73292298988,"k = 16",0,0
1.35,4619.95931176747,"k = 16",0,0
1.4,4822.70946179747,"k = 16",0,0
1.45,5034.35744371121,"k = 16",0,0
1.5,5255.29374525416,"k = 16",0,0
1.55,5485.9259912046,"k = 16",0,0
1.6,5726.67969494636,"k = 16",0,0
1.65,5977.99904359067,"k = 16",0,0
1.7,6240.34771776173,"k = 16",0,0
1.75,6514.20974716601,"k = 16",0,0
1.8,6800.09040352391,"k = 16",0,0
1.85,7098.51713270625,"k = 16",0,0
1.9,7410.0405278774,"k = 16",0,0
1.95,7735.23534537851,"k = 16",0,0
2,8074.70156515836,"k = 16",0,0
2.05,8429.06549771061,"k = 16",0,0
2.1,8798.98093959402,"k = 16",0,0
2.15,9185.13037968083,"k = 16",0,0
2.2,9588.22625834737,"k = 16",0,0
2.25,10009.0122819188,"k = 16",0,0
2.3,10448.2647947939,"k = 16",0,0
2.35,10906.7942117871,"k = 16",0,0
2.4,11385.4465133336,"k = 16",0,0
2.45,11885.1048063128,"k = 16",0,0
2.5,12406.6909533686,"k = 16",0,0
2.55,12951.1672737325,"k = 16",0,0
2.6,13519.5383186893,"k = 16",0,0
2.65,14112.8527249599,"k = 16",0,0
2.7,14732.2051494224,"k = 16",0,0
2.75,15378.7382887384,"k = 16",0,0
2.8,16053.6449876128,"k = 16",0,0
2.85,16758.1704395757,"k = 16",0,0
2.9,17493.614484347,"k = 16",0,0
2.95,18261.3340060232,"k = 16",0,0
3,19062.7454365093,"k = 16",0,0
3.05,19899.3273688164,"k = 16",0,0
3.1,20772.6232850454,"k = 16",0,0
3.15,21684.2444040899,"k = 16",0,0
3.2,22635.872654313,"k = 16",0,0
3.25,23629.2637766817,"k = 16",0,0
3.3,24666.250564085,"k = 16",0,0
3.35,25748.7462428109,"k = 16",0,0
3.4,26878.7480024232,"k = 16",0,0
3.45,28058.340680548,"k = 16",0,0
3.5,29289.7006093707,"k = 16",0,0
3.55,30575.0996309385,"k = 16",0,0
3.6,31916.9092886778,"k = 16",0,0
3.65,33317.6052028589,"k = 16",0,0
3.7,34779.7716380814,"k = 16",0,0
3.75,36306.1062712062,"k = 16",0,0
3.8,37899.4251685327,"k = 16",0,0
3.85,39562.6679814014,"k = 16",0,0
3.9,41298.9033698108,"k = 16",0,0
3.95,43111.3346640519,"k = 16",0,0
4,45003.305774809,"k = 16",0,0
4.05,46978.3073626281,"k = 16",0,0
4.1,49039.983278138,"k = 16",0,0
4.15,51192.1372849035,"k = 16",0,0
4.2,53438.7400773173,"k = 16",0,0
4.25,55783.9366064762,"k = 16",0,0
4.3,58232.0537275581,"k = 16",0,0
4.35,60787.6081828105,"k = 16",0,0
4.4,63455.3149348772,"k = 16",0,0
4.45,66240.0958658393,"k = 16",0,0
4.5,69147.0888580198,"k = 16",0,0
4.55,72181.6572733051,"k = 16",0,0
4.6,75349.3998484738,"k = 16",0,0
4.65,78656.1610247885,"k = 16",0,0
4.7,82108.0417309093,"k = 16",0,0
4.75,85711.4106390227,"k = 16",0,0
4.8,89472.915914954,"k = 16",0,0
4.85,93399.4974839409,"k = 16",0,0
4.9,97498.3998347,"k = 16",0,0
4.95,101777.185385408,"k = 16",0,0
5,106243.748396763,"k = 16",0,0
5.05,110905.527780062,"k = 16",312.500000000004,34657977.4312699
5.1,115767.120903376,"k = 16",625.000000000003,72354450.5646104
5.15,120832.686944606,"k = 16",937.500000000002,113280644.010568
5.2,126106.716132837,"k = 16",1250,157633395.166046
5.25,131593.997647337,"k = 16",1562.5,205615621.323965
5.3,137299.592450563,"k = 16",1875,257436735.844805
5.35,143228.807140616,"k = 16",2187.5,313313015.620099
5.4,149387.171832919,"k = 16",2500,373467929.582299
5.45,155780.419916096,"k = 16",2812.5,438132431.014021
5.5,162414.47030093,"k = 16",3125,507545219.690407
5.55,169295.411808779,"k = 16",3437.5,581952978.09268
5.6,176429.488040786,"k = 16",3750,661610580.152948
5.65,183823.082833107,"k = 16",4062.5,746781274.009497
5.7,191482.706992081,"k = 16",4375,837736843.090352
5.75,199414.986224783,"k = 16",4687.5,934757747.92867
5.8,207626.649640249,"k = 16",5000,1038133248.20125
5.85,216124.518437697,"k = 16",5312.5,1148161504.20027
5.9,224915.494807917,"k = 16",5625,1265149658.29453
5.95,234006.551135534,"k = 16",5937.5,1389413897.36723
6,243404.719416497,"k = 16",6250,1521279496.3531
6.05,253117.080715632,"k = 16",6562.5,1661080842.19634
6.1,263150.754555111,"k = 16",6875,1809161437.56639
6.15,273512.888208982,"k = 16",7187.5,1965873884.00206
6.2,284210.645888142,"k = 16",7500,2131579844.16107
6.25,295251.197768114,"k = 16",7812.5,2306649982.56339
6.3,306641.708801424,"k = 16",8125,2491463884.01157
6.35,318389.327275297,"k = 16",8437.5,2686409948.88532
6.4,330501.173094395,"k = 16",8750,2891885264.57596
6.45,342984.32577131,"k = 16",9062.5,3108295452.3025
6.5,355845.812103493,"k = 16",9375,3336054488.47025
6.55,369092.593516302,"k = 16",9687.5,3575584499.68917
6.6,382731.553058211,"k = 16",10000,3827315530.58211
6.65,396769.482039833,"k = 16",10312.5,4091685283.53578
6.7,411213.066310588,"k = 16",10625,4369138829.55
6.75,426068.872167885,"k = 16",10937.5,4660128289.33624
6.8,441343.3318958,"k = 16",11250,4965112483.82776
6.85,457042.728933286,"k = 16",11562.5,5284556553.29112
6.9,473173.182674601,"k = 16",11875,5618931544.26089
6.95,489740.632906677,"k = 16",12187.5,5968713963.55012
7,506750.823926485,"k = 16",12500,6334385299.08106
7.05,524205.496800839,"k = 16",13125,6880197145.51102
7.1,542091.072351634,"k = 16",13750,7453752244.83497
7.15,560390.306156923,"k = 16",14375,8055610651.00577
7.2,579085.992645126,"k = 16",15000,8686289889.67689
7.25,598160.736306868,"k = 16",15625,9346261504.79481
7.3,617596.805160919,"k = 16",16250,10035948083.8649
7.35,637376.034868967,"k = 16",16875,10755720588.4138
7.4,657479.678422768,"k = 16",17500,11505894372.3984
7.45,677888.334541529,"k = 16",18125,12286726063.5652
7.5,698581.864301021,"k = 16",18750,13098409955.6442
7.55,719539.301854791,"k = 16",19375,13941073973.4366
7.6,740738.804167184,"k = 16",20000,14814776083.3437
7.65,762157.596314019,"k = 16",20625,15719500423.9766
7.7,783771.92453201,"k = 16",21250,16655153396.3052
7.75,805557.024274808,"k = 16",21875,17621559906.0114
7.8,827487.098471549,"k = 16",22500,18618459715.6099
7.85,849535.302413256,"k = 16",23125,19645503868.3066
7.9,871673.735041977,"k = 16",23750,20702251207.247
7.95,893873.436588608,"k = 16",24375,21788165016.8473
8,916104.394794129,"k = 16",25000,22902609869.8532
8.05,938335.560208658,"k = 16",25625,24044848730.3469
8.1,960534.867429271,"k = 16",26250,25214040270.0184
8.15,982669.261895598,"k = 16",26875,26409236413.4442
8.2,1004704.73310133,"k = 16",27500,27629380160.2866
8.25,1026606.3549522,"k = 16",28125,28873303733.0306
8.3,1048338.33311179,"k = 16",28750,30139727076.964
8.35,1069864.05866934,"k = 16",29375,31427256723.412
8.4,1091146.16773888,"k = 16",30000,32734385032.1665
8.45,1112146.60698579,"k = 16",30625,34059489838.9399
8.5,1132826.70516466,"k = 16",31250,35400834536.3955
8.55,1153147.25032954,"k = 16",31875,36756568604.2542
8.6,1173068.5736436,"k = 16",32500,38124728643.4171
8.65,1192550.63778961,"k = 16",33125,39503239876.7809
8.7,1211553.13050835,"k = 16",33750,40889918154.6569
8.75,1230035.56334009,"k = 16",34375,42282472489.8157
8.8,1247957.37537698,"k = 16",35000,43678508138.1944
8.85,1265278.04151459,"k = 16",35625,45075530228.9574
8.9,1281957.1847866,"k = 16",36250,46470947948.5141
8.95,1297954.69252925,"k = 16",36875,47862079287.0162
9,1313230.83611416,"k = 16",37500,49246156354.281
9.05,1327746.39387274,"k = 16",38125,50620331266.3981
9.1,1341462.77676249,"k = 16",38750,51981682599.5463
9.15,1354342.15632387,"k = 16",39375,53327222405.2523
9.2,1366347.59448529,"k = 16",40000,54653903779.4117
9.25,1377443.17475116,"k = 16",40625,55958628974.2658
9.3,1387594.1342678,"k = 16",41250,57238258038.5466
9.35,1396766.99623212,"k = 16",41875,58489617967.2201
9.4,1404929.70209239,"k = 16",42500,59709512338.9268
9.45,1412051.74297775,"k = 16",43125,60894731415.9156
9.5,1418104.28977641,"k = 16",43750,62042062677.7181
9.55,1423060.32126484,"k = 16",44375,63148301756.1271
9.6,1426894.74967666,"k = 16",45000,64210263735.4498
9.65,1429584.54309183,"k = 16",45625,65224794778.5649
9.7,1431108.84402068,"k = 16",46250,66188784035.9566
9.75,1431449.08355402,"k = 16",46875,67099175791.5947
9.8,1430589.09044917,"k = 16",47500,67952981796.3354
9.85,1428515.19452446,"k = 16",48125,68747293736.4897
9.9,1425216.32374116,"k = 16",48750,69479295782.3817
9.95,1420684.09436169,"k = 16",49375,70146277159.1083
10,1414912.89358644,"k = 16",50000,70745644679.3222
10.05,1407899.95408861,"k = 16",50625,71274935175.7357
10.1,1399645.41988701,"k = 16",51250,71731827769.2093
10.15,1390152.40302214,"k = 16",51875,72114155906.7734
10.2,1379427.03052866,"k = 16",52500,72419919102.7547
10.25,1367478.48123032,"k = 16",53125,72647294315.3605
10.3,1354319.01191887,"k = 16",53750,72794646890.639
10.35,1339963.97251863,"k = 16",54375,72860541005.7003
10.4,1324431.80988117,"k = 16",55000,72843749543.4646
10.45,1307744.05990162,"k = 16",55625,72743263332.0278
10.5,1289925.32769766,"k = 16",56250,72558299682.9935
10.55,1271003.25564558,"k = 16",56875,72288310164.8424
10.6,1251008.47912331,"k = 16",57500,71932987549.5905
10.65,1229974.56986896,"k = 16",58125,71492271873.6335
10.7,1207937.96692405,"k = 16",58750,70966355556.788
10.75,1184937.89519353,"k = 16",59375,70355687527.1156
10.8,1161016.27171908,"k = 16",60000,69660976303.1446
10.85,1136217.59982818,"k = 16",60625,68883191989.5833
10.9,1110588.85138813,"k = 16",61250,68023567147.523
10.95,1084179.33746187,"k = 16",61875,67083596505.453
11,1057040.56772989,"k = 16",62500,66065035483.1183
11.05,1029226.0991102,"k = 16",63125,64969897506.3315
11.1,1000791.37407471,"k = 16",63750,63800450097.2628
11.15,971793.549226424,"k = 16",64375,62559209731.4511
11.2,942291.314765554,"k = 16",65000,61248935459.761
11.25,912344.705534881,"k = 16",65625,59872621300.7266
11.3,882014.904394104,"k = 16",66250,58433487416.1094
11.35,851364.038729567,"k = 16",66875,56934970090.0398
11.4,820454.970958818,"k = 16",67500,55380710539.7202
11.45,789351.08393885,"k = 16",68125,53774542593.3342
11.5,758116.062231989,"k = 16",68750,52120479278.4492
11.55,726813.670227133,"k = 16",69375,50422698372.0073
11.6,695507.528136786,"k = 16",70000,48685526969.5751
11.65,664260.88692837,"k = 16",70625,46913425139.3161
11.7,633136.403283089,"k = 16",71250,45110968733.9201
11.75,602195.915688246,"k = 16",71875,43282831440.0927
11.8,571500.222768619,"k = 16",72500,41433766150.7249
11.85,541108.864967078,"k = 16",73125,39568585750.7176
11.9,511079.910691721,"k = 16",73750,37692143413.5144
11.95,481469.748042746,"k = 16",74375,35809312510.6793
12,452332.883212474,"k = 16",75000,33924966240.9355
12.05,423721.746624122,"k = 16",75625,32043957088.4493
12.1,395686.507845315,"k = 16",76250,30171096223.2053
12.15,368274.900278429,"k = 16",76875,28311132958.9042
12.2,341532.056587292,"k = 16",77500,26468734385.5151
12.25,315500.355767751,"k = 16",78125,24648465294.3556
12.3,290219.282711028,"k = 16",78750,22854768513.4934
12.35,265725.301045541,"k = 16",79375,21091945770.4898
12.4,242051.739974266,"k = 16",80000,19364139197.9412
12.45,219228.69574996,"k = 16",80625,17675313594.8405
12.5,197282.948350054,"k = 16",81250,16029239553.4419
12.55,176237.89382777,"k = 16",81875,14429477557.1486
12.6,156113.492727149,"k = 16",82500,12879363149.9898
12.65,136926.234287615,"k = 16",83125,11381993225.158
12.7,119232.659411356,"k = 16",83750,9985735225.70106
12.75,103811.617425575,"k = 16",84375,8759105220.28292
12.8,90385.4315560987,"k = 16",85000,7682761682.26839
12.85,78695.2876066777,"k = 16",85625,6738284001.32178
12.9,68517.0471067995,"k = 16",86250,5909595312.96146
12.95,59655.2529752131,"k = 16",86875,5182550102.22164
13,51939.5023126345,"k = 16",87500,4544706452.35551
13.05,45221.7760555777,"k = 16",88125,3985169014.89778
13.1,39372.9795767933,"k = 16",88750,3494351937.44041
13.15,34280.601512765,"k = 16",89375,3063828760.20337
13.2,29846.8194939703,"k = 16",90000,2686213754.45732
13.25,25986.4943551601,"k = 16",90625,2355026050.93638
13.3,22625.4889543619,"k = 16",91250,2064575867.08552
13.35,19699.214037495,"k = 16",91875,1809865289.69486
13.4,17151.4146169794,"k = 16",92500,1586505852.0706
13.45,14933.1269155662,"k = 16",93125,1390647444.0121
13.5,13001.7391931306,"k = 16",93750,1218913049.356
13.55,11320.1526044421,"k = 16",94375,1068339402.04422
13.6,9856.05827373171,"k = 16",95000,936325536.004513
13.65,8581.32238434931,"k = 16",95625,820588953.003403
13.7,7471.45282124376,"k = 16",96250,719127334.044712
13.75,6505.12825805846,"k = 16",96875,630184299.999414
13.8,5663.78463108137,"k = 16",97500,552219001.530434
13.85,4931.25713353022,"k = 16",98125,483879606.227653
13.9,4293.47113621732,"k = 16",98750,423980274.701461
13.95,3738.17305547501,"k = 16",99375,371480947.387829
14,3254.69466180014,"k = 16",1e+05,325469466.180014
